name,category,ingredients,ingredients_str,label,no_numbers_units,processed_ingredients
Chicken Quinoa Greek Salad,Chicken,"['225g Quinoa', '25g Butter', '1 chopped Red Chilli', '1 clove finely chopped Garlic', '400g Chicken Breast', '2 tbs Olive Oil', 'Handful Black Olives', '1 chopped Red Onions', '100g Feta', 'Chopped Mint', 'Juice of 1/2 Lemon']",225g Quinoa | 25g Butter | 1 chopped Red Chilli | 1 clove finely chopped Garlic | 400g Chicken Breast | 2 tbs Olive Oil | Handful Black Olives | 1 chopped Red Onions | 100g Feta | Chopped Mint | Juice of 1/2 Lemon,Meat, quinoa |  butter |  red chilli |  clove finely chopped garlic |  chicken breast |  olive oil | handful black olives |  red onions |  feta | chopped mint | juice of / lemon,quinoa butter red chilli clove fine chop garlic chicken breast oliv oil hand black oliv red onion feta chop mint juic lemon
Coq au vin,Chicken,"['1½ tbsp Olive Oil', '3 rashers (100g) chopped dry-cured Bacon', '12 small Shallots', '2 (460g) Chicken Legs', '4 (650g) Chicken Thighs', '2 (280g) Chicken Breasts', '3 finely chopped Garlic', '3 tbsp Brandy', '600ml Red Wine', '150ml Chicken Stock', '2 tsp tomato puree', '3 sprigs thyme', '2 sprigs Rosemary', '2 bay leaves', 'garnish parsley', '250g chestnut mushroom', '2 tbsp plain flour', '1 tsp butter']",1½ tbsp Olive Oil | 3 rashers (100g) chopped dry-cured Bacon | 12 small Shallots | 2 (460g) Chicken Legs | 4 (650g) Chicken Thighs | 2 (280g) Chicken Breasts | 3 finely chopped Garlic | 3 tbsp Brandy | 600ml Red Wine | 150ml Chicken Stock | 2 tsp tomato puree | 3 sprigs thyme | 2 sprigs Rosemary | 2 bay leaves | garnish parsley | 250g chestnut mushroom | 2 tbsp plain flour | 1 tsp butter,Meat,1½ tbsp olive oil |  rashers () chopped dry-cured bacon |  small shallots |  () chicken legs |  () chicken thighs |  () chicken breasts |  finely chopped garlic |  brandy |  red wine |  chicken stock |  tomato puree |  sprigs thyme |  sprigs rosemary |  bay leaves | garnish parsley |  chestnut mushroom |  plain flour |  butter,1½ tbsp oliv oil rasher chop dri cure bacon small shallot chicken leg chicken thigh chicken breast fine chop garlic brandi red wine chicken stock tomato pure sprig thyme sprig rosemari bay leav garnish parsley chestnut mushroom plain flour butter
Crock Pot Chicken Baked Tacos,Chicken,"['4 - 6 Chicken Breasts', '1 bottle Vinaigrette Dressing', '1½ tablespoon Cumin', '1 tablespoon Smoked Paprika', '1 teaspoon Garlic', '1 can Refried Beans', '12 Hard Taco Shells', '2 cups Shredded Mexican Cheese', 'Halved Grape Tomatoes', 'Sliced and Seeded Jalapeno', 'Peeled and Sliced Avocado', '2 tablespoons Green Salsa', '3 tablespoons Sour Cream', '1 tablespoon Milk']",4 - 6 Chicken Breasts | 1 bottle Vinaigrette Dressing | 1½ tablespoon Cumin | 1 tablespoon Smoked Paprika | 1 teaspoon Garlic | 1 can Refried Beans | 12 Hard Taco Shells | 2 cups Shredded Mexican Cheese | Halved Grape Tomatoes | Sliced and Seeded Jalapeno | Peeled and Sliced Avocado | 2 tablespoons Green Salsa | 3 tablespoons Sour Cream | 1 tablespoon Milk,Meat, -  chicken breasts |  bottle vinaigrette dressing | 1½ tablespoon cumin |  smoked paprika |  garlic |  can refried beans |  hard taco shells |  shredded mexican cheese | halved grape tomatoes | sliced and seeded jalapeno | peeled and sliced avocado |  green salsa |  sour cream |  milk,chicken breast bottl vinaigrett dress 1½ tablespoon cumin smoke paprika garlic refri bean hard taco shell shred mexican chees halv grape tomato slice seed jalapeno peel slice avocado green salsa sour cream milk
French Onion Chicken with Roasted Carrots & Mashed Potatoes,Chicken,"['2 Chicken Breasts', '12 ounces Carrots', '5 Small Potatoes', '1 Onion', '1 Beef Stock', '1 1/2 cup Mozzarella', '2 tbsp Sour Cream', ' Butter', ' Sugar', ' Vegetable Oil', ' Salt', ' Pepper']",2 Chicken Breasts | 12 ounces Carrots | 5 Small Potatoes | 1 Onion | 1 Beef Stock | 1 1/2 cup Mozzarella | 2 tbsp Sour Cream |  Butter |  Sugar |  Vegetable Oil |  Salt |  Pepper,Meat, chicken breasts |  carrots |  small potatoes |  onion |  beef stock |   mozzarella |  sour cream |  butter |  sugar |  vegetable oil |  salt |  pepper,chicken breast carrot small potato onion beef stock mozzarella sour cream butter sugar veget oil salt pepper
General Tso's Chicken,Chicken,"['1 1/2 Chicken Breast', '3/4 cup Plain Flour', '1 Egg', '2 tbs Starch', '1 tbs Baking Powder', '1 tsp Salt', '1/2 tsp Onion Salt', '1/4 tsp Garlic Powder', '3/4 cup Water', '1/2 cup Chicken Stock', '1/4 cup Duck Sauce', '3 tbs Soy Sauce', '2 tbs Honey', '1 tbs Rice Vinegar', '2 tbs Sesame Seed Oil', '1/2 tbs Gochujang', '2 tbs Starch', '1 clove Garlic', '2 chopped Spring Onions', '1 tsp Ginger']",1 1/2 Chicken Breast | 3/4 cup Plain Flour | 1 Egg | 2 tbs Starch | 1 tbs Baking Powder | 1 tsp Salt | 1/2 tsp Onion Salt | 1/4 tsp Garlic Powder | 3/4 cup Water | 1/2 cup Chicken Stock | 1/4 cup Duck Sauce | 3 tbs Soy Sauce | 2 tbs Honey | 1 tbs Rice Vinegar | 2 tbs Sesame Seed Oil | 1/2 tbs Gochujang | 2 tbs Starch | 1 clove Garlic | 2 chopped Spring Onions | 1 tsp Ginger,Meat, / chicken breast |  plain flour |  egg |  starch |  baking powder |  salt |  onion salt |  garlic powder |  water |  chicken stock |  duck sauce |  soy sauce |  honey |  rice vinegar |  sesame seed oil |  gochujang |  starch |  clove garlic |  spring onions |  ginger,chicken breast plain flour egg starch bake powder salt onion salt garlic powder water chicken stock duck sauc soy sauc honey rice vinegar sesam seed oil gochujang starch clove garlic spring onion ginger
Honey Balsamic Chicken with Crispy Broccoli & Potatoes,Chicken,"['5 Potatoes', '1 Broccoli', '2 cloves Garlic', '2 Chicken Breast', ' Balsamic Vinegar', ' Honey', ' Chicken Stock', '1 tbsp Butter', '1 tbsp Vegetable Oil', '1 tbsp Olive Oil']",5 Potatoes | 1 Broccoli | 2 cloves Garlic | 2 Chicken Breast |  Balsamic Vinegar |  Honey |  Chicken Stock | 1 tbsp Butter | 1 tbsp Vegetable Oil | 1 tbsp Olive Oil,Meat, potatoes |  broccoli |  cloves garlic |  chicken breast |  balsamic vinegar |  honey |  chicken stock |  butter |  vegetable oil |  olive oil,potato broccoli clove garlic chicken breast balsam vinegar honey chicken stock butter veget oil oliv oil
Jerk chicken with rice & peas,Chicken,"['12 Chicken Thighs', '1/2 Lime', '1  bunch Spring Onions', '1 tbs chopped Ginger', '3 cloves Garlic', '1/2 Onion', '3 chopped Red Chilli', '1/2 teaspoon Thyme', 'Juice of 1 Lime', '2 tbs Soy Sauce', '2 tbs Vegetable Oil', '3 tbs Brown Sugar', '1 tbs Allspice', '200g Basmati Rice', '400g Coconut Milk', '1  bunch Spring Onions', '2 sprigs Thyme', '2 cloves chopped Garlic', '1 tbs Allspice', '800g Kidney Beans']",12 Chicken Thighs | 1/2 Lime | 1  bunch Spring Onions | 1 tbs chopped Ginger | 3 cloves Garlic | 1/2 Onion | 3 chopped Red Chilli | 1/2 teaspoon Thyme | Juice of 1 Lime | 2 tbs Soy Sauce | 2 tbs Vegetable Oil | 3 tbs Brown Sugar | 1 tbs Allspice | 200g Basmati Rice | 400g Coconut Milk | 1  bunch Spring Onions | 2 sprigs Thyme | 2 cloves chopped Garlic | 1 tbs Allspice | 800g Kidney Beans,Meat, chicken thighs | / lime |   bunch spring onions |  chopped ginger |  cloves garlic | / onion |  red chilli |  thyme | juice of  lime |  soy sauce |  vegetable oil |  brown sugar |  allspice |  basmati rice |  coconut milk |   bunch spring onions |  sprigs thyme |  cloves chopped garlic |  allspice |  kidney beans,chicken thigh lime bunch spring onion chop ginger clove garlic onion red chilli thyme juic lime soy sauc veget oil brown sugar allspic basmati rice coconut milk bunch spring onion sprig thyme clove chop garlic allspic kidney bean
Katsu Chicken curry,Chicken,"['4 pounded to 1cm thickness chicken breast', '2 tablespoons plain flour', '1 beaten egg', '100g fine breadcrumbs', '230ml frying vegetable oil', '2 tablespoons sunflower oil', '2 sliced onions', '5 chopped cloves garlic', '2 sliced carrot', '2 tablespoons plain flour', '4 teaspoons curry powder', '600ml chicken stock', '2 teaspoons honey', '4 teaspoons soy sauce', '1 bay leaf', '1 teaspoon garam masala']",4 pounded to 1cm thickness chicken breast | 2 tablespoons plain flour | 1 beaten egg | 100g fine breadcrumbs | 230ml frying vegetable oil | 2 tablespoons sunflower oil | 2 sliced onions | 5 chopped cloves garlic | 2 sliced carrot | 2 tablespoons plain flour | 4 teaspoons curry powder | 600ml chicken stock | 2 teaspoons honey | 4 teaspoons soy sauce | 1 bay leaf | 1 teaspoon garam masala,Meat, pounded to  thickness chicken breast |  plain flour |  beaten egg |  fine breadcrumbs |  frying vegetable oil |  sunflower oil |  sliced onions |  cloves garlic |  sliced carrot |  plain flour |  curry powder |  chicken stock |  honey |  soy sauce |  bay leaf |  garam masala,pound thick chicken breast plain flour beaten egg fine breadcrumb fri veget oil sunflow oil slice onion clove garlic slice carrot plain flour curri powder chicken stock honey soy sauc bay leaf garam masala
Kentucky Fried Chicken,Chicken,"['1 whole Chicken', '2 quarts neutral frying Oil', '1 Egg White', '1 1/2 cups Flour', '1 tablespoon Brown Sugar', '1 tablespoon Salt', '1 tablespoon paprika', '2 teaspoons onion salt', '1 teaspoon chili powder', '1 teaspoon black pepper', '1/2 teaspoon celery salt', '1/2 teaspoon sage', '1/2 teaspoon garlic powder', '1/2 teaspoon allspice', '1/2 teaspoon oregano', '1/2 teaspoon basil', '1/2 teaspoon marjoram']",1 whole Chicken | 2 quarts neutral frying Oil | 1 Egg White | 1 1/2 cups Flour | 1 tablespoon Brown Sugar | 1 tablespoon Salt | 1 tablespoon paprika | 2 teaspoons onion salt | 1 teaspoon chili powder | 1 teaspoon black pepper | 1/2 teaspoon celery salt | 1/2 teaspoon sage | 1/2 teaspoon garlic powder | 1/2 teaspoon allspice | 1/2 teaspoon oregano | 1/2 teaspoon basil | 1/2 teaspoon marjoram,Meat, whole chicken |  quarts neutral frying oil |  egg white |   flour |  brown sugar |  salt |  paprika |  onion salt |  chili powder |  black pepper |  celery salt |  sage |  garlic powder |  allspice |  oregano |  basil |  marjoram,whole chicken quart neutral fri oil egg white flour brown sugar salt paprika onion salt chili powder black pepper celeri salt sage garlic powder allspic oregano basil marjoram
Kung Pao Chicken,Chicken,"['2 tbs Sake', '2 tbs Soy Sauce', '2 tbs Sesame Seed Oil', '2 tbs Corn Flour', '2 tbs Water', '500g Chicken', '1 tbs Chilli Powder', '1 tsp Rice Vinegar', '1 tbs Brown Sugar', '4 Chopped Spring Onions', '6 cloves Garlic Clove', '220g Water Chestnut', '100g Peanuts']",2 tbs Sake | 2 tbs Soy Sauce | 2 tbs Sesame Seed Oil | 2 tbs Corn Flour | 2 tbs Water | 500g Chicken | 1 tbs Chilli Powder | 1 tsp Rice Vinegar | 1 tbs Brown Sugar | 4 Chopped Spring Onions | 6 cloves Garlic Clove | 220g Water Chestnut | 100g Peanuts,Meat, sake |  soy sauce |  sesame seed oil |  corn flour |  water |  chicken |  chilli powder |  rice vinegar |  brown sugar |  spring onions |  cloves garlic clove |  water chestnut |  peanuts,sake soy sauc sesam seed oil corn flour water chicken chilli powder rice vinegar brown sugar spring onion clove garlic clove water chestnut peanut
Nutty Chicken Curry,Chicken,"['1 large Red Chilli', '0.5 Ginger', '1 large Garlic', 'Bunch Coriander', '1 tbsp Sunflower Oil', '4 Chicken Breasts', '5 tblsp Peanut Butter', '150ml Chicken Stock', '200g Greek Yogurt']",1 large Red Chilli | 0.5 Ginger | 1 large Garlic | Bunch Coriander | 1 tbsp Sunflower Oil | 4 Chicken Breasts | 5 tblsp Peanut Butter | 150ml Chicken Stock | 200g Greek Yogurt,Meat, large red chilli | . ginger |  large garlic | bunch coriander |  sunflower oil |  chicken breasts |  peanut butter |  chicken stock |  greek yogurt,larg red chilli ginger larg garlic bunch coriand sunflow oil chicken breast peanut butter chicken stock greek yogurt
Pad See Ew,Chicken,"['6oz/180g rice stick noodles', '2 tbsp dark soy sauce', '2 tbsp oyster sauce', '2 tsp soy sauce', '2 tsp white vinegar', '2 tsp sugar', '2 tbsp water', '2 tbsp peanut oil', '2 cloves garlic', '1 cup Chicken', '1 Egg', '4 cups Chinese broccoli']",6oz/180g rice stick noodles | 2 tbsp dark soy sauce | 2 tbsp oyster sauce | 2 tsp soy sauce | 2 tsp white vinegar | 2 tsp sugar | 2 tbsp water | 2 tbsp peanut oil | 2 cloves garlic | 1 cup Chicken | 1 Egg | 4 cups Chinese broccoli,Meat,/ rice stick noodles |  dark soy sauce |  oyster sauce |  soy sauce |  white vinegar |  sugar |  water |  peanut oil |  cloves garlic |  chicken |  egg |  chinese broccoli,rice stick noodl dark soy sauc oyster sauc soy sauc white vinegar sugar water peanut oil clove garlic chicken egg chines broccoli
Piri-piri chicken and slaw,Chicken,"['1.5kg Chicken', '3 chopped Red Chilli', '2 cloves Garlic', '1 tsp Ginger', '1 tsp Dried Oregano', '1 tsp Coriander', '1 tsp Paprika', '2 tbs Red Wine Vinegar', '2 tbs Oil', '1 sliced Red Onions', '2 Carrots', '1 Beetroot', '4 leaves Cabbage', '2 tbs Mayonnaise', '2 tbs Greek Yogurt', '2 tbs Red Wine Vinegar', '1 tsp Cumin Seeds']",1.5kg Chicken | 3 chopped Red Chilli | 2 cloves Garlic | 1 tsp Ginger | 1 tsp Dried Oregano | 1 tsp Coriander | 1 tsp Paprika | 2 tbs Red Wine Vinegar | 2 tbs Oil | 1 sliced Red Onions | 2 Carrots | 1 Beetroot | 4 leaves Cabbage | 2 tbs Mayonnaise | 2 tbs Greek Yogurt | 2 tbs Red Wine Vinegar | 1 tsp Cumin Seeds,Meat,. chicken |  red chilli |  cloves garlic |  ginger |  dried oregano |  coriander |  paprika |  red wine vinegar |  oil |  sliced red onions |  carrots |  beetroot |  leaves cabbage |  mayonnaise |  greek yogurt |  red wine vinegar |  cumin seeds,chicken red chilli clove garlic ginger dri oregano coriand paprika red wine vinegar oil slice red onion carrot beetroot leav cabbag mayonnais greek yogurt red wine vinegar cumin seed
Potato Gratin with Chicken,Chicken,"['800g Potatoes', '3 Onions', '2 tblsp Olive Oil', '100ml Chicken Stock', '1 pot Creme Fraiche', 'Topping Parmesan', '4 Chicken Breasts', '4 Bacon', 'Topping Spinach', 'Topping Peas']",800g Potatoes | 3 Onions | 2 tblsp Olive Oil | 100ml Chicken Stock | 1 pot Creme Fraiche | Topping Parmesan | 4 Chicken Breasts | 4 Bacon | Topping Spinach | Topping Peas,Meat, potatoes |  onions |  olive oil |  chicken stock |  pot creme fraiche | topping parmesan |  chicken breasts |  bacon | topping spinach | topping peas,potato onion oliv oil chicken stock pot creme fraich top parmesan chicken breast bacon top spinach top pea
Rappie Pie,Chicken,"['2 tbs Butter', '2 chopped Onions', '4 qt Chicken Stock', '1.5kg Chicken Breast', '4kg Potatoes', '2 tbs Salt', '1tbsp Black Pepper']",2 tbs Butter | 2 chopped Onions | 4 qt Chicken Stock | 1.5kg Chicken Breast | 4kg Potatoes | 2 tbs Salt | 1tbsp Black Pepper,Meat, butter |  onions |  qt chicken stock | . chicken breast |  potatoes |  salt |  black pepper,butter onion qt chicken stock chicken breast potato salt black pepper
Rosół (Polish Chicken Soup),Chicken,"['4 Chopped Chicken Legs', '2 large Onions', '5 chopped Carrots', '1 chopped Leek', '1 small Celery', '1/4 Cabbage', '1 whole Cloves', '1tsp Allspice', '2 Bay Leaf', '4 sprigs Parsley', '4 sprigs Dill', '1 tsp Pepper', '1 tbs Salt']",4 Chopped Chicken Legs | 2 large Onions | 5 chopped Carrots | 1 chopped Leek | 1 small Celery | 1/4 Cabbage | 1 whole Cloves | 1tsp Allspice | 2 Bay Leaf | 4 sprigs Parsley | 4 sprigs Dill | 1 tsp Pepper | 1 tbs Salt,Meat, chicken legs |  large onions |  carrots |  leek |  small celery | / cabbage |  whole cloves |  allspice |  bay leaf |  sprigs parsley |  sprigs dill |  pepper |  salt,chicken leg larg onion carrot leek small celeri cabbag whole clove allspic bay leaf sprig parsley sprig dill pepper salt
Shawarma,Chicken,"['1 kg Chicken Thighs', '1 tbs Coriander', '1 tbs Cumin', '1 tbs Cardamom', '1 tsp Cayenne Pepper', '2 tsp Paprika', '2 tbs Lemon Juice', '3 tbs Olive Oil', '1 cup Greek Yogurt', '1 Garlic Clove', '1 tsp Cumin', 'Splash Lemon Juice', 'Sliced Lettuce', 'Sliced Tomato', '6 Pita Bread']",1 kg Chicken Thighs | 1 tbs Coriander | 1 tbs Cumin | 1 tbs Cardamom | 1 tsp Cayenne Pepper | 2 tsp Paprika | 2 tbs Lemon Juice | 3 tbs Olive Oil | 1 cup Greek Yogurt | 1 Garlic Clove | 1 tsp Cumin | Splash Lemon Juice | Sliced Lettuce | Sliced Tomato | 6 Pita Bread,Meat, chicken thighs |  coriander |  cumin |  cardamom |  cayenne pepper |  paprika |  lemon juice |  olive oil |  greek yogurt |  garlic clove |  cumin | splash lemon juice | sliced lettuce | sliced tomato |  pita bread,chicken thigh coriand cumin cardamom cayenn pepper paprika lemon juic oliv oil greek yogurt garlic clove cumin splash lemon juic slice lettuc slice tomato pita bread
Tandoori chicken,Chicken,"['2 Juice lemons', '4 tsp paprika', '2 finely chopped red onions', '16 skinnless chicken thighs', 'For brushing vegetable oil', '300ml Greek yogurt', 'large piece ginger', '4 garlic clove', '¾ tsp garam masala', '¾ tsp ground cumin', '½ tsp chilli powder', '¼ tsp turmeric']",2 Juice lemons | 4 tsp paprika | 2 finely chopped red onions | 16 skinnless chicken thighs | For brushing vegetable oil | 300ml Greek yogurt | large piece ginger | 4 garlic clove | ¾ tsp garam masala | ¾ tsp ground cumin | ½ tsp chilli powder | ¼ tsp turmeric,Meat, juice lemons |  paprika |  finely chopped red onions |  skinnless chicken thighs | for brushing vegetable oil |  greek yogurt | large piece ginger |  garlic clove | ¾ tsp garam masala | ¾ tsp ground cumin |  chilli powder | ¼ tsp turmeric,juic lemon paprika fine chop red onion skinnless chicken thigh brush veget oil greek yogurt larg piec ginger garlic clove ¾ tsp garam masala ¾ tsp ground cumin chilli powder ¼ tsp turmer
Teriyaki Chicken Casserole,Chicken,"['3/4 cup soy sauce', '1/2 cup water', '1/4 cup brown sugar', '1/2 teaspoon ground ginger', '1/2 teaspoon minced garlic', '4 Tablespoons cornstarch', '2 chicken breasts', '1 (12 oz.) stir-fry vegetables', '3 cups brown rice']",3/4 cup soy sauce | 1/2 cup water | 1/4 cup brown sugar | 1/2 teaspoon ground ginger | 1/2 teaspoon minced garlic | 4 Tablespoons cornstarch | 2 chicken breasts | 1 (12 oz.) stir-fry vegetables | 3 cups brown rice,Meat, soy sauce |  water |  brown sugar |  ground ginger |  minced garlic |  cornstarch |  chicken breasts |  (.) stir-fry vegetables |  brown rice,soy sauc water brown sugar ground ginger minc garlic cornstarch chicken breast stir fri veget brown rice
Thai Green Curry,Chicken,"['225g new potatoes', '100g green beans', '1 tbsp sunflower oil', '1 clove garlic', '4 tsp Thai green curry paste', '400ml coconut milk', '2 tsp Thai fish sauce', '1 tsp Sugar', '450g boneless Chicken', '2 fresh kaffir leaves lime', 'handfull basil', 'Boiled Rice']",225g new potatoes | 100g green beans | 1 tbsp sunflower oil | 1 clove garlic | 4 tsp Thai green curry paste | 400ml coconut milk | 2 tsp Thai fish sauce | 1 tsp Sugar | 450g boneless Chicken | 2 fresh kaffir leaves lime | handfull basil | Boiled Rice,Meat, new potatoes |  green beans |  sunflower oil |  clove garlic |  thai green curry paste |  coconut milk |  thai fish sauce |  sugar |  boneless chicken |  fresh kaffir leaves lime | handfull basil | boiled rice,new potato green bean sunflow oil clove garlic thai green curri past coconut milk thai fish sauc sugar boneless chicken fresh kaffir leav lime handful basil boil rice
Apam balik,Dessert,"['200ml Milk', '60ml Oil', '2 Eggs', '1600g Flour', '3 tsp Baking Powder', '1/2 tsp Salt', '25g Unsalted Butter', '45g Sugar', '3 tbs Peanut Butter']",200ml Milk | 60ml Oil | 2 Eggs | 1600g Flour | 3 tsp Baking Powder | 1/2 tsp Salt | 25g Unsalted Butter | 45g Sugar | 3 tbs Peanut Butter,Non-Meat, milk |  oil |  eggs |  flour |  baking powder |  salt |  unsalted butter |  sugar |  peanut butter,milk oil egg flour bake powder salt unsalt butter sugar peanut butter
Apple & Blackberry Crumble,Dessert,"['120g Plain Flour', '60g Caster Sugar', '60g Butter', '300g Braeburn Apples', '30g Butter', '30g Demerara Sugar', '120g Blackberrys', '¼ teaspoon Cinnamon', 'to serve Ice Cream']",120g Plain Flour | 60g Caster Sugar | 60g Butter | 300g Braeburn Apples | 30g Butter | 30g Demerara Sugar | 120g Blackberrys | ¼ teaspoon Cinnamon | to serve Ice Cream,Non-Meat, plain flour |  caster sugar |  butter |  braeburn apples |  butter |  demerara sugar |  blackberrys | ¼ teaspoon cinnamon | to serve ice cream,plain flour caster sugar butter braeburn appl butter demerara sugar blackberri ¼ teaspoon cinnamon serv ice cream
Apple Frangipan Tart,Dessert,"['175g/6oz digestive biscuits', '75g/3oz butter', '200g/7oz Bramley apples', '75g/3oz butter, softened', '75g/3oz caster sugar', '2 free-range eggs, beaten', '75g/3oz ground almonds', '1 tsp almond extract', '50g/1¾oz flaked almonds']","175g/6oz digestive biscuits | 75g/3oz butter | 200g/7oz Bramley apples | 75g/3oz butter, softened | 75g/3oz caster sugar | 2 free-range eggs, beaten | 75g/3oz ground almonds | 1 tsp almond extract | 50g/1¾oz flaked almonds",Non-Meat,"/ digestive biscuits | / butter | / bramley apples | / butter, softened | / caster sugar |  free-range eggs, beaten | / ground almonds |  almond extract | /1¾oz flaked almonds",digest biscuit butter bramley appl butter soften caster sugar free rang egg beaten ground almond almond extract 1¾oz flake almond
Bakewell tart,Dessert,"['175g/6oz plain flour', '75g/2½oz chilled butter', '2-3 tbsp cold water', '1 tbsp raspberry jam', '125g/4½oz butter', '125g/4½oz caster sugar', '125g/4½oz ground almonds', '1 free-range egg, beaten', '½ tsp almond extract', '50g/1¾oz flaked almonds']","175g/6oz plain flour | 75g/2½oz chilled butter | 2-3 tbsp cold water | 1 tbsp raspberry jam | 125g/4½oz butter | 125g/4½oz caster sugar | 125g/4½oz ground almonds | 1 free-range egg, beaten | ½ tsp almond extract | 50g/1¾oz flaked almonds",Non-Meat,"/ plain flour | /2½oz chilled butter | - cold water |  raspberry jam | /4½oz butter | /4½oz caster sugar | /4½oz ground almonds |  free-range egg, beaten |  almond extract | /1¾oz flaked almonds",plain flour 2½oz chill butter cold water raspberri jam 4½oz butter 4½oz caster sugar 4½oz ground almond free rang egg beaten almond extract 1¾oz flake almond
Banana Pancakes,Dessert,"['1 large Banana', '2 medium Eggs', 'pinch Baking Powder', 'spinkling Vanilla Extract', '1 tsp Oil', '25g Pecan Nuts', '125g Raspberries']",1 large Banana | 2 medium Eggs | pinch Baking Powder | spinkling Vanilla Extract | 1 tsp Oil | 25g Pecan Nuts | 125g Raspberries,Non-Meat, large banana |  medium eggs | pinch baking powder | spinkling vanilla extract |  oil |  pecan nuts |  raspberries,larg banana medium egg pinch bake powder spinkl vanilla extract oil pecan nut raspberri
Battenberg Cake,Dessert,"['175g Butter', '175g Caster Sugar', '140g Self-raising Flour', '50g Almonds', '½ tsp Baking Powder', '3 Medium Eggs', '½ tsp Vanilla Extract', '¼ teaspoon Almond Extract', '175g Butter', '175g Caster Sugar', '140g Self-raising Flour', '50g Almonds', '½ tsp Baking Powder', '3 Medium Eggs', '½ tsp Vanilla Extract', '¼ teaspoon Almond Extract', '½ tsp Pink Food Colouring', '200g Apricot', '1kg Marzipan', 'Dusting Icing Sugar']",175g Butter | 175g Caster Sugar | 140g Self-raising Flour | 50g Almonds | ½ tsp Baking Powder | 3 Medium Eggs | ½ tsp Vanilla Extract | ¼ teaspoon Almond Extract | 175g Butter | 175g Caster Sugar | 140g Self-raising Flour | 50g Almonds | ½ tsp Baking Powder | 3 Medium Eggs | ½ tsp Vanilla Extract | ¼ teaspoon Almond Extract | ½ tsp Pink Food Colouring | 200g Apricot | 1kg Marzipan | Dusting Icing Sugar,Non-Meat, butter |  caster sugar |  self-raising flour |  almonds |  baking powder |  medium eggs |  vanilla extract | ¼ teaspoon almond extract |  butter |  caster sugar |  self-raising flour |  almonds |  baking powder |  medium eggs |  vanilla extract | ¼ teaspoon almond extract |  pink food colouring |  apricot |  marzipan | dusting icing sugar,butter caster sugar self rais flour almond bake powder medium egg vanilla extract ¼ teaspoon almond extract butter caster sugar self rais flour almond bake powder medium egg vanilla extract ¼ teaspoon almond extract pink food colour apricot marzipan dust ice sugar
BeaverTails,Dessert,"['1/2 cup Water', '2 parts Yeast', '1/2 cup Sugar', '1/2 cup Milk', '6 tblsp Butter', '2 Eggs', '1 ½ tsp Salt', '2-1/2 cups Flour', 'for frying Oil', 'garnish Lemon', 'garnish Sugar', 'garnish Cinnamon']",1/2 cup Water | 2 parts Yeast | 1/2 cup Sugar | 1/2 cup Milk | 6 tblsp Butter | 2 Eggs | 1 ½ tsp Salt | 2-1/2 cups Flour | for frying Oil | garnish Lemon | garnish Sugar | garnish Cinnamon,Non-Meat, water |  parts yeast |  sugar |  milk |  butter |  eggs |   salt | - flour | for frying oil | garnish lemon | garnish sugar | garnish cinnamon,water part yeast sugar milk butter egg salt flour fri oil garnish lemon garnish sugar garnish cinnamon
Blackberry Fool,Dessert,"['50g Hazlenuts', '125g Butter', '150g Caster Sugar', 'Grated Lemon', '150g Plain Flour', '½ tsp Baking Powder', '600g Blackberrys', '75g Sugar', '2 tbs Caster Sugar', '1 tbs Lemon Juice', '300ml Double Cream', '100ml Yogurt', 'Garnish with Mint']",50g Hazlenuts | 125g Butter | 150g Caster Sugar | Grated Lemon | 150g Plain Flour | ½ tsp Baking Powder | 600g Blackberrys | 75g Sugar | 2 tbs Caster Sugar | 1 tbs Lemon Juice | 300ml Double Cream | 100ml Yogurt | Garnish with Mint,Non-Meat, hazlenuts |  butter |  caster sugar | grated lemon |  plain flour |  baking powder |  blackberrys |  sugar |  caster sugar |  lemon juice |  double cream |  yogurt | garnish with mint,hazlenut butter caster sugar grate lemon plain flour bake powder blackberri sugar caster sugar lemon juic doubl cream yogurt garnish mint
Bread and Butter Pudding,Dessert,"['25g/1oz butter', '8 thin slices bread', '50g/2oz sultanas', '2 tsp cinnamon', '350ml/12fl milk', '50ml/2fl oz double cream', '2 free-range eggs', '25g/1oz sugar', 'grated, to taste nutmeg']","25g/1oz butter | 8 thin slices bread | 50g/2oz sultanas | 2 tsp cinnamon | 350ml/12fl milk | 50ml/2fl oz double cream | 2 free-range eggs | 25g/1oz sugar | grated, to taste nutmeg",Non-Meat,"/ butter |  thin slices bread | / sultanas |  cinnamon | /12fl milk | /2fl oz double cream |  free-range eggs | / sugar | grated, to taste nutmeg",butter thin slice bread sultana cinnamon 12fl milk 2fl oz doubl cream free rang egg sugar grate tast nutmeg
Budino Di Ricotta,Dessert,"['500g Ricotta', '4 large Eggs', '3 tbs Flour', '250g Sugar', '1 tsp Cinnamon', 'Grated Zest of 2 Lemons', '5 tbs Dark Rum', 'sprinking Icing Sugar']",500g Ricotta | 4 large Eggs | 3 tbs Flour | 250g Sugar | 1 tsp Cinnamon | Grated Zest of 2 Lemons | 5 tbs Dark Rum | sprinking Icing Sugar,Non-Meat, ricotta |  large eggs |  flour |  sugar |  cinnamon | grated zest of  lemons |  dark rum | sprinking icing sugar,ricotta larg egg flour sugar cinnamon grate zest lemon dark rum sprink ice sugar
